,index,AST%,BLK%,DRB%,Drtg,FIC,ORB%,Ortg,PER,PPR,PPS,Player,STL%,TOV%,TRB%,TS%,Team,TotalS%,USG%,eDiff,eFG%
0,0,34.4,1.6,17.7,102.8,20519.4,3.7,115.9,27.5,3.3,1.4,LeBron James *,2.3,12.7,10.8,0.582,-,158.2,31.6,13.1,0.533
1,1,9.3,5.7,25.0,102.6,5376.0,8.4,115.9,26.5,-1.6,1.4,Anthony Davis *,2.0,8.3,16.6,0.575,NOP,158.4,27.3,13.3,0.519
2,2,47.0,0.2,12.2,104.1,15000.0,2.2,122.7,25.7,12.0,1.3,Chris Paul *,3.4,13.1,7.2,0.579,-,170.4,24.0,18.6,0.514
3,3,18.1,2.1,18.3,105.2,11925.2,2.5,116.5,25.1,-1.8,1.4,Kevin Durant *,1.6,12.4,10.7,0.607,-,174.9,30.2,11.3,0.534
4,4,30.6,2.0,11.5,104.6,13438.2,4.3,110.2,24.3,1.4,1.3,Dwyane Wade *,2.4,13.7,8.0,0.56,-,154.1,31.8,5.6,0.499
5,5,40.2,0.6,13.6,105.5,9936.6,5.7,108.9,23.3,3.9,1.2,Russell Westbrook *,2.6,15.5,9.8,0.53,OKC,155.8,32.0,3.4,0.461
6,6,31.9,0.5,11.3,106.3,8805.2,2.2,117.0,23.2,3.7,1.4,Stephen Curry *,2.5,14.8,6.8,0.616,GSW,182.0,27.1,10.7,0.574
7,7,12.8,1.9,21.6,104.5,20157.4,3.4,116.2,22.9,-0.2,1.3,Dirk Nowitzki *,1.2,8.5,12.6,0.579,DAL,173.4,26.9,11.7,0.512
8,8,20.8,1.4,22.6,104.6,7063.9,8.3,112.9,22.8,0.7,1.3,Blake Griffin *,1.4,11.4,15.6,0.56,LAC,145.0,27.7,8.3,0.522
9,9,27.5,1.0,13.4,106.4,8391.2,2.6,117.2,22.6,1.2,1.5,James Harden *,2.2,15.2,8.1,0.606,-,166.3,27.7,10.7,0.518
10,10,20.7,2.1,24.4,106.6,1346.6,11.4,122.0,22.6,2.0,1.4,Nikola Jokic *,1.9,13.5,17.8,0.607,DEN,169.1,20.2,15.4,0.564
11,11,12.6,4.1,27.6,106.7,2010.4,10.4,112.1,22.6,-2.6,1.3,Karl-Anthony Towns *,1.0,12.5,19.0,0.58,MIN,165.0,25.7,5.4,0.542
12,12,16.5,2.9,27.7,103.7,6662.2,10.3,103.3,22.2,-4.6,1.3,DeMarcus Cousins *,2.2,14.8,18.9,0.53,SAC,151.7,31.6,-0.3,0.47
13,13,12.3,1.1,29.1,105.8,8759.0,10.6,116.4,22.0,-1.2,1.3,Kevin Love *,1.1,10.8,19.7,0.565,-,162.7,24.6,10.6,0.498
14,14,7.4,4.4,29.1,99.3,15116.1,12.0,110.3,21.7,-5.7,1.6,Dwight Howard *,1.4,16.9,20.8,0.6,-,124.3,22.8,11.0,0.584
15,15,3.8,4.2,31.0,100.1,5130.4,16.5,109.2,21.6,-3.6,1.3,Andre Drummond *,2.1,10.8,23.5,0.533,DET,127.1,20.8,9.1,0.551
16,16,16.5,3.5,21.6,104.4,17119.1,8.7,113.1,21.5,-0.2,1.3,Pau Gasol *,0.8,12.5,15.3,0.565,-,158.5,23.5,8.7,0.513
17,17,10.9,1.7,18.0,98.3,4701.8,5.1,118.1,21.3,0.4,1.3,Kawhi Leonard *,3.0,9.0,11.8,0.598,SAS,173.8,21.3,19.8,0.551
18,18,8.5,1.5,10.7,149.3,6526.6,4.1,106.0,21.0,-1.8,1.3,Brook Lopez *,0.4,11.1,6.7,0.565,BRK,161.7,25.3,-43.4,0.513
19,19,16.2,1.0,15.1,107.9,12505.5,5.7,108.4,21.0,-1.9,1.3,Carmelo Anthony *,1.5,11.0,10.4,0.545,-,161.0,31.5,0.5,0.482
20,20,29.4,0.7,9.0,109.2,4393.2,2.5,111.4,20.9,2.7,1.2,Kyrie Irving *,2.0,12.7,5.7,0.557,CLE,170.3,28.4,2.2,0.507
21,21,24.6,0.9,12.9,100.7,9707.2,3.1,113.2,20.6,2.2,1.4,Manu Ginobili *,2.8,14.8,8.1,0.585,SAS,164.6,24.7,12.5,0.521
22,22,9.6,3.3,24.8,104.8,10626.4,9.0,107.6,20.5,-1.2,1.2,Al Jefferson *,1.2,8.2,16.8,0.527,-,133.3,25.5,2.8,0.498
23,23,9.9,2.3,20.7,105.4,12402.9,7.3,112.8,20.5,-1.9,1.4,Chris Bosh *,1.2,10.7,14.1,0.571,-,162.7,24.7,7.5,0.506
24,24,29.2,0.2,7.7,111.1,4435.1,2.1,115.6,20.5,3.8,1.4,Isaiah Thomas *,1.6,12.6,4.8,0.578,-,167.5,26.5,4.5,0.508
25,25,10.0,2.3,19.3,105.6,10099.8,8.8,111.6,20.5,-0.9,1.2,LaMarcus Aldridge *,1.2,8.1,14.0,0.536,-,157.6,25.8,6.0,0.491
26,26,12.8,1.7,23.1,106.0,6292.1,11.2,110.1,20.1,-1.6,1.3,Greg Monroe *,2.0,13.3,17.0,0.549,-,121.1,22.3,4.1,0.509
27,27,18.4,1.3,16.1,103.0,16323.6,2.8,108.7,19.7,-0.9,1.4,Paul Pierce *,2.0,13.2,9.6,0.568,-,162.0,26.9,5.7,0.5
28,28,28.9,0.6,10.2,110.4,4904.0,1.6,112.9,19.7,3.7,1.3,Damian Lillard *,1.3,12.5,5.9,0.562,POR,167.0,27.2,2.5,0.504
29,29,6.5,2.7,23.0,105.6,4326.1,13.5,115.3,19.7,-2.7,1.3,Kenneth Faried *,1.5,12.0,18.2,0.574,DEN,130.7,19.7,9.7,0.545
30,30,6.6,6.4,28.0,99.5,2750.5,13.2,117.9,19.7,-3.0,1.7,Rudy Gobert *,1.3,18.1,20.6,0.619,UTA,120.1,14.3,18.4,0.597
31,31,10.7,0.7,23.7,105.7,12142.9,11.2,106.5,19.5,-2.8,1.2,Zach Randolph *,1.3,11.4,17.4,0.523,-,149.6,26.4,0.8,0.477
32,32,19.5,1.5,12.2,106.2,14307.4,4.3,108.6,19.4,1.2,1.2,Vince Carter *,1.7,9.7,8.2,0.536,-,160.9,27.3,2.3,0.488
33,33,12.6,2.9,20.5,102.6,9558.2,9.3,110.9,19.2,-1.0,1.3,Paul Millsap *,2.3,12.5,14.9,0.558,-,156.0,22.1,8.3,0.512
34,34,41.8,1.4,12.4,105.4,6795.2,1.8,103.7,19.2,6.1,1.2,John Wall *,2.4,17.6,7.1,0.517,WAS,154.5,26.9,-1.6,0.459
35,35,11.6,2.4,26.3,103.5,4647.4,10.6,105.9,19.1,-1.3,1.1,Nikola Vucevic *,1.3,11.1,18.3,0.528,-,150.3,23.3,2.4,0.508
36,36,14.3,2.9,22.0,103.7,8588.4,8.2,114.3,19.1,1.0,1.2,Al Horford *,1.3,11.1,15.2,0.569,-,161.7,19.6,10.6,0.542
37,37,12.5,1.0,24.1,106.5,9718.4,9.9,114.4,19.0,-1.0,1.3,David Lee *,1.3,12.9,17.0,0.576,-,134.2,20.7,7.8,0.534
38,38,14.7,1.1,11.5,103.6,4094.0,4.9,118.0,18.8,1.7,1.4,Jimmy Butler *,2.3,9.3,8.2,0.565,CHI,159.9,20.5,14.4,0.484
