,index,3P%,3PA,3PM,AST,BLK,DRB,FG%,FGA,FGM,FT%,FTA,FTM,GP,MIN,ORB,PF,PTS,Player,REB,STL,TOV,Team
0,0,0.38,4.7,1.8,3.7,1.0,6.4,0.486,19.0,9.2,0.881,8.1,7.1,680,37.6,0.8,1.9,27.3,Kevin Durant *,7.1,1.2,3.2,-
1,1,0.341,4.0,1.4,6.9,0.8,6.0,0.499,19.7,9.8,0.742,8.3,6.2,1021,38.9,1.2,1.9,27.2,LeBron James *,7.2,1.7,3.4,-
2,2,0.345,3.4,1.2,3.2,0.5,4.8,0.452,19.6,8.8,0.813,7.4,6.0,939,36.2,1.8,2.9,24.8,Carmelo Anthony *,6.6,1.1,2.8,-
3,3,0.288,1.6,0.5,5.7,0.9,3.5,0.486,17.5,8.5,0.768,7.8,6.0,890,35.5,1.3,2.3,23.5,Dwyane Wade *,4.8,1.6,3.3,-
4,4,0.44,7.4,3.3,6.8,0.2,3.6,0.476,16.6,7.9,0.904,3.8,3.5,534,34.8,0.7,2.5,22.6,Stephen Curry *,4.3,1.8,3.2,GSW
5,5,0.307,3.1,0.9,7.8,0.3,4.2,0.434,17.7,7.7,0.818,7.0,5.7,626,34.1,1.7,2.4,22.1,Russell Westbrook *,5.9,1.7,3.8,OKC
6,6,0.381,3.3,1.3,2.5,0.9,6.8,0.473,16.3,7.7,0.879,5.9,5.2,1353,35.2,1.1,2.4,21.9,Dirk Nowitzki *,7.8,0.8,1.8,DAL
7,7,0.368,7.0,2.6,6.2,0.3,3.4,0.429,17.1,7.3,0.873,5.3,4.6,356,36.4,0.5,2.2,21.9,Damian Lillard *,3.9,0.9,2.8,POR
8,8,0.288,0.7,0.2,1.7,2.4,7.4,0.513,16.2,8.3,0.783,6.4,5.0,297,34.3,2.6,2.5,21.8,Anthony Davis *,10.0,1.3,1.7,NOP
9,9,0.366,5.9,2.2,5.4,0.4,4.1,0.443,14.4,6.4,0.854,7.8,6.7,574,33.5,0.8,2.5,21.6,James Harden *,4.8,1.5,3.2,-
10,10,0.266,0.4,0.1,4.1,0.6,7.0,0.519,16.1,8.3,0.666,7.0,4.7,436,35.2,2.5,3.0,21.4,Blake Griffin *,9.5,1.0,2.5,LAC
11,11,0.382,4.8,1.8,5.5,0.3,2.7,0.454,16.9,7.7,0.868,4.5,3.9,341,34.1,0.8,2.1,21.1,Kyrie Irving *,3.4,1.3,2.7,CLE
