,index,3P%,3PA,3PM,AST,BLK,DRB,FG%,FGA,FGM,FT%,FTA,FTM,GP,MIN,ORB,PF,PTS,Player,REB,STL,TOV,Team
0,0,0.381,4515,1720,3435,1186,9187,0.473,22080,10453,0.879,7998,7032,1353,47565.6,1424,3294,29658,Dirk Nowitzki *,10611,1132,2388,DAL
1,1,0.341,4116,1405,7093,790,6092,0.499,20097,10019,0.742,8463,6283,1021,39742.2,1241,1898,27726,LeBron James *,7333,1707,3452,-
2,2,0.369,5799,2137,4700,744,6405,0.445,19434,8654,0.807,8575,6916,1330,45748.3,1093,3628,26361,Paul Pierce *,7498,1751,3524,-
3,3,0.372,5334,1986,4433,788,4454,0.438,20030,8774,0.799,5883,4699,1307,42110.8,1571,3579,24233,Vince Carter *,6025,1388,2445,-
4,4,0.345,3171,1093,2961,448,4509,0.452,18363,8300,0.813,6907,5616,939,34025.6,1709,2735,23309,Carmelo Anthony *,6218,1009,2637,-
5,5,0.288,1458,420,5080,784,3156,0.486,15578,7564,0.768,6933,5327,890,31627.6,1114,2040,20875,Dwyane Wade *,4270,1462,2958,-
6,6,0.372,5046,1877,4837,243,3725,0.442,17028,7531,0.801,3383,2710,1183,42073.0,1033,2140,19649,Joe Johnson *,4758,1031,2364,-
7,7,0.322,292,94,3585,1821,7452,0.51,14754,7523,0.754,5966,4498,1091,38160.4,2884,2431,19638,Pau Gasol *,10336,569,2478,-
8,8,0.38,3199,1217,2541,705,4320,0.486,12893,6267,0.881,5478,4828,680,25557.4,537,1294,18579,Kevin Durant *,4857,819,2172,-
9,9,0.379,5790,2195,5305,248,2671,0.444,15278,6784,0.845,3250,2747,1317,40407.8,488,2466,18510,Jason Terry *,3159,1530,2367,-
10,10,0.328,1480,486,6488,89,2746,0.494,14703,7260,0.754,4250,3204,1109,35363.9,419,1905,18210,Tony Parker *,3165,982,2674,SAS
11,11,0.348,5695,1983,4018,243,2270,0.41,14857,6087,0.862,3952,3406,1140,35030.4,426,1788,17563,Jamal Crawford *,2696,1071,2214,-
12,12,0.335,910,305,1795,932,5665,0.494,12581,6209,0.799,5591,4466,893,31935.4,1927,2159,17189,Chris Bosh *,7592,730,1807,-
13,13,0.258,528,136,1860,288,6398,0.472,14477,6837,0.765,4360,3334,1017,32084.1,3072,2439,17144,Zach Randolph *,9470,772,2114,-
14,14,0.093,54,5,1362,1868,8348,0.583,9920,5787,0.567,8018,4546,914,32092.0,3255,2993,16125,Dwight Howard *,11603,896,2739,-
15,15,0.367,2553,938,8013,87,3004,0.473,11241,5312,0.864,4080,3527,806,28760.5,553,1992,15089,Chris Paul *,3557,1866,1951,-
16,16,0.377,2661,1003,2352,341,3684,0.464,10892,5049,0.769,4567,3512,1119,33229.1,898,2532,14613,Richard Jefferson *,4582,770,1735,-
17,17,0.313,2268,710,3721,267,2255,0.451,12358,5577,0.776,3396,2634,789,27873.9,504,1865,14498,Monta Ellis *,2759,1361,2171,-
18,18,0.28,264,74,1442,774,4325,0.488,12078,5894,0.803,3280,2633,756,26333.8,1988,1925,14495,LaMarcus Aldridge *,6313,588,1196,-
19,19,0.127,63,8,1295,1065,5440,0.498,11944,5948,0.708,2767,1959,851,25464.8,1998,2227,13863,Al Jefferson *,7438,602,1174,-
20,20,0.307,1915,587,4862,176,2656,0.434,11087,4816,0.818,4395,3595,626,21333.5,1046,1518,13814,Russell Westbrook *,3702,1077,2386,OKC
