,20ast,20reb,40pts,5blk,5stl,ASTtoTOV,DBLDBL,DWS,FTtoFGA,HOB,OWS,Player,STLtoTOV,TRPLDBL,Team,WS,high_game,losses,techs,win%,wins
0,0,0,0,2,16,1.7,49,21.7,0.3,0.195,28.0,Kawhi Leonard *,1.4,0,SAS,49.6,38,81,1,0.776,281
1,0,0,0,1,3,1.6,3,17.1,0.1,0.12,11.5,Danny Green *,1.0,0,-,28.7,33,109,1,0.749,325
2,0,1,0,4,11,2.2,68,18.0,0.3,0.174,11.1,Draymond Green *,0.7,17,GSW,29.2,31,94,42,0.739,266
3,0,0,6,0,21,1.9,20,42.6,0.4,0.222,58.5,Manu Ginobili *,0.7,0,SAS,101.1,48,259,11,0.729,698
4,0,0,3,0,6,2.4,98,41.5,0.3,0.33,65.0,Tony Parker *,0.4,1,SAS,106.5,55,303,18,0.727,808
5,0,0,9,1,3,1.3,2,12.1,0.2,0.229,20.1,Klay Thompson *,0.5,0,GSW,32.1,60,136,6,0.681,290
6,0,0,56,2,32,2.1,333,59.0,0.4,0.449,138.4,LeBron James *,0.5,45,-,197.4,61,335,57,0.673,689
7,0,0,0,0,0,1.4,13,10.1,0.2,0.144,10.2,Harrison Barnes *,0.7,0,-,20.4,34,114,2,0.671,233
8,0,0,0,0,2,1.4,1,5.5,0.2,0.063,2.9,Andre Roberson *,1.4,0,OKC,8.4,15,76,3,0.655,144
9,0,0,0,0,0,1.6,4,9.9,0.2,0.059,15.4,James Jones *,1.0,0,-,25.3,27,237,5,0.655,449
10,0,4,0,77,0,0.5,104,23.4,0.2,0.146,26.1,Serge Ibaka *,0.3,1,-,49.5,31,196,41,0.654,370
11,0,0,0,0,3,2.6,7,20.3,0.3,0.199,29.8,George Hill *,0.7,2,-,50.1,37,200,18,0.649,369
12,0,1,0,3,1,0.7,24,8.0,0.5,0.092,9.3,Steven Adams *,0.5,0,OKC,17.3,24,98,9,0.641,175
13,0,0,31,0,14,1.7,102,20.0,0.5,0.313,63.0,James Harden *,0.5,22,-,83.0,53,211,24,0.634,366
14,0,0,24,0,17,2.1,104,19.7,0.2,0.363,58.9,Stephen Curry *,0.6,7,GSW,78.5,54,197,11,0.632,339
15,0,7,20,11,3,1.4,397,56.1,0.4,0.27,140.2,Dirk Nowitzki *,0.5,2,DAL,196.3,53,499,104,0.632,856
16,0,1,7,0,0,1.6,218,18.9,0.4,0.325,39.4,Blake Griffin *,0.4,4,LAC,58.3,47,165,78,0.622,271
17,0,0,1,0,0,1.8,0,11.7,0.3,0.156,33.6,J.J. Redick *,0.4,0,-,45.3,40,247,25,0.621,405
18,4,0,8,0,77,4.1,396,39.0,0.4,0.44,112.0,Chris Paul *,1.0,13,-,151.0,43,309,85,0.618,500
19,1,0,22,0,26,2.0,224,25.2,0.4,0.403,46.8,Russell Westbrook *,0.5,57,OKC,72.0,54,241,85,0.617,389
20,0,0,0,0,8,1.6,12,24.1,0.2,0.1,9.3,Thabo Sefolosha *,1.2,0,-,33.5,28,276,9,0.615,440
21,0,0,0,0,4,2.5,6,6.2,0.2,0.172,10.5,Patrick Beverley *,1.0,0,HOU,16.7,22,98,27,0.613,155
22,0,0,1,0,5,1.7,5,11.7,0.2,0.154,25.5,Leandro Barbosa *,0.7,0,-,37.2,41,320,2,0.611,503
23,0,0,0,0,26,1.0,11,27.2,0.4,0.122,9.0,Tony Allen *,1.0,0,-,36.3,30,299,20,0.608,464
24,0,0,0,0,1,2.0,13,5.1,0.2,0.21,1.0,Dennis Schroder *,0.3,0,ATL,6.1,33,98,8,0.603,149
25,0,0,0,15,0,0.8,74,21.9,0.3,0.132,14.2,Taj Gibson *,0.4,0,CHI,36.1,26,218,28,0.603,331
26,0,0,46,5,4,1.2,166,31.5,0.4,0.336,82.1,Kevin Durant *,0.4,8,-,113.5,54,273,61,0.6,409
27,0,0,7,1,10,2.1,29,15.4,0.5,0.208,29.0,Jimmy Butler *,1.1,2,CHI,44.4,53,147,12,0.595,216
28,0,5,3,12,1,1.2,267,31.0,0.3,0.26,53.3,LaMarcus Aldridge *,0.5,0,-,84.3,44,307,17,0.595,451
29,0,4,0,11,3,1.8,209,28.5,0.2,0.239,39.3,Al Horford *,0.5,1,-,67.8,34,248,15,0.593,361
30,0,0,34,5,29,1.7,122,39.9,0.4,0.384,75.5,Dwyane Wade *,0.5,4,-,115.5,55,364,74,0.592,528
31,0,0,2,0,2,2.1,52,12.4,0.3,0.36,19.7,Derrick Rose *,0.3,1,-,32.0,42,181,15,0.591,262
32,0,0,4,0,14,1.3,55,22.9,0.3,0.247,16.6,Paul George *,0.7,2,IND,39.5,48,166,24,0.591,240
33,0,0,0,0,1,0.9,133,27.3,0.3,0.11,23.6,Udonis Haslem *,0.5,0,MIA,50.9,28,339,30,0.591,489
